longitud,latitud,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septimbre,octubre,noviembre,diciembre
-179.75,-88.75,-29.1,-41.3,-54.6,-58.1,-58.3,-58.8,-60.3,-60.3,-60.2,-51.6,-39.5,-29.0
-179.75,-89.25,-28.5,-40.9,-54.2,-57.7,-57.9,-58.4,-59.8,-59.8,-59.7,-51.2,-38.9,-28.5
-179.75,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-179.25,71.25,-23.5,-26.2,-24.8,-18.3,-7.6,-0.4,1.4,1.0,-2.2,-8.7,-16.2,-22.7
-179.25,68.75,-24.0,-26.6,-24.7,-17.9,-6.3,2.1,4.8,3.6,-0.1,-8.4,-16.1,-23.2
-179.25,68.25,-25.4,-27.3,-25.4,-19.0,-8.3,0.3,3.3,2.3,-1.5,-9.4,-17.1,-24.2
-179.25,67.75,-24.7,-25.8,-23.9,-18.0,-8.4,0.5,3.7,3.0,-0.9,-8.3,-16.0,-23.0
-179.25,67.25,-22.5,-22.6,-21.3,-15.4,-6.9,2.0,5.6,5.1,0.9,-6.1,-13.6,-20.2
-179.25,66.75,-21.9,-21.1,-20.8,-14.2,-6.6,1.8,5.9,5.8,0.8,-5.8,-13.1,-19.0
-179.25,-84.75,-17.1,-25.6,-36.6,-41.4,-42.6,-42.6,-46.3,-46.6,-45.5,-36.7,-25.8,-17.1
-179.25,-85.25,-23.5,-32.4,-43.8,-48.3,-49.6,-49.4,-52.9,-53.1,-52.2,-43.5,-32.4,-23.6
-179.25,-85.75,-23.0,-32.5,-44.1,-48.4,-49.4,-49.4,-52.6,-52.7,-52.0,-43.3,-32.0,-22.9
-179.25,-86.25,-25.1,-35.3,-47.3,-51.4,-52.1,-52.4,-54.9,-55.2,-54.6,-45.9,-34.4,-25.0
-179.25,-86.75,-26.8,-37.6,-50.0,-53.8,-54.4,-54.8,-57.0,-57.2,-56.7,-48.2,-36.5,-26.7
-179.25,-87.25,-27.8,-39.1,-51.8,-55.4,-56.0,-56.3,-58.3,-58.5,-58.1,-49.6,-37.7,-27.8
-179.25,-87.75,-28.4,-40.1,-53.0,-56.5,-56.9,-57.4,-59.2,-59.3,-59.0,-50.6,-38.5,-28.4
-179.25,-88.25,-29.1,-41.1,-54.3,-57.7,-58.1,-58.6,-60.1,-60.2,-60.0,-51.5,-39.3,-29.1
-179.25,-88.75,-29.1,-41.3,-54.6,-58.1,-58.3,-58.8,-60.3,-60.3,-60.2,-51.6,-39.4,-29.0
-179.25,-89.25,-28.5,-40.9,-54.2,-57.7,-57.9,-58.4,-59.8,-59.8,-59.7,-51.2,-38.9,-28.5
-179.25,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-178.75,71.25,-23.3,-25.9,-24.6,-17.9,-7.2,0.0,1.8,1.3,-1.8,-8.5,-16.1,-22.5
-178.75,68.25,-23.5,-25.3,-23.2,-17.2,-6.6,2.1,5.1,4.1,0.4,-7.4,-15.1,-22.3
-178.75,67.75,-23.1,-24.1,-21.7,-16.6,-7.0,1.9,5.2,4.4,0.7,-6.7,-14.2,-21.3
-178.75,67.25,-21.2,-21.4,-19.4,-14.4,-5.8,3.3,6.8,6.3,2.2,-4.8,-12.1,-19.0
-178.75,66.75,-22.4,-21.7,-20.8,-14.9,-7.3,1.4,5.4,5.2,0.4,-6.0,-13.4,-19.6
-178.75,66.25,-20.3,-19.3,-19.4,-12.5,-5.2,3.1,7.5,7.4,2.1,-4.4,-11.9,-17.5
-178.75,-84.75,-19.4,-27.8,-38.8,-43.6,-44.9,-44.8,-48.5,-48.8,-47.7,-38.9,-28.0,-19.4
-178.75,-85.25,-23.1,-32.1,-43.4,-47.9,-49.2,-49.0,-52.5,-52.7,-51.8,-43.1,-32.0,-23.2
-178.75,-85.75,-22.8,-32.4,-43.9,-48.2,-49.2,-49.2,-52.4,-52.6,-51.8,-43.1,-31.9,-22.8
-178.75,-86.25,-25.1,-35.3,-47.3,-51.4,-52.1,-52.4,-54.9,-55.2,-54.6,-45.9,-34.4,-25.0
-178.75,-86.75,-26.7,-37.6,-50.0,-53.8,-54.4,-54.8,-57.0,-57.2,-56.7,-48.2,-36.5,-26.7
-178.75,-87.25,-27.8,-39.1,-51.8,-55.4,-55.8,-56.2,-58.3,-58.4,-58.1,-49.5,-37.7,-27.8
-178.75,-87.75,-28.4,-40.1,-53.0,-56.5,-56.9,-57.4,-59.2,-59.3,-59.0,-50.5,-38.5,-28.4
-178.75,-88.25,-29.1,-41.1,-54.3,-57.7,-58.1,-58.6,-60.2,-60.2,-60.0,-51.5,-39.3,-29.1
-178.75,-88.75,-29.1,-41.3,-54.6,-58.0,-58.2,-58.8,-60.3,-60.3,-60.1,-51.6,-39.4,-29.0
-178.75,-89.25,-28.5,-40.9,-54.2,-57.6,-57.9,-58.4,-59.8,-59.8,-59.7,-51.2,-38.9,-28.5
-178.75,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-178.25,71.25,-23.7,-26.2,-24.9,-18.1,-7.5,-0.2,1.6,1.1,-2.1,-9.0,-16.5,-22.8
-178.25,68.25,-24.2,-25.8,-23.4,-17.9,-7.3,1.4,4.4,3.4,0.0,-7.9,-15.5,-22.8
-178.25,67.75,-22.3,-23.3,-20.4,-16.0,-6.3,2.9,6.0,5.3,1.7,-5.7,-13.1,-20.6
-178.25,67.25,-22.3,-22.7,-19.8,-15.9,-7.1,2.2,5.6,5.0,1.3,-5.7,-12.8,-20.3
-178.25,66.75,-23.7,-23.2,-21.4,-16.7,-8.7,0.2,4.1,3.7,-0.5,-7.2,-14.4,-21.1
-178.25,66.25,-18.8,-18.2,-17.3,-11.5,-3.9,4.7,8.9,8.6,3.8,-2.8,-10.2,-16.2
-178.25,65.75,-18.1,-17.8,-17.3,-10.8,-3.2,4.9,9.3,9.1,3.9,-2.9,-10.3,-15.9
-178.25,-84.75,-19.9,-28.3,-39.3,-44.1,-45.4,-45.3,-49.0,-49.3,-48.2,-39.4,-28.5,-19.9
-178.25,-85.25,-21.3,-30.3,-41.6,-46.1,-47.3,-47.2,-50.7,-50.9,-50.0,-41.3,-30.2,-21.4
-178.25,-85.75,-22.7,-32.2,-43.8,-48.1,-49.1,-49.1,-52.3,-52.4,-51.7,-43.0,-31.7,-22.6
-178.25,-86.25,-25.1,-35.3,-47.2,-51.3,-52.0,-52.3,-54.9,-55.1,-54.5,-45.9,-34.5,-25.0
-178.25,-86.75,-26.7,-37.6,-50.0,-53.8,-54.4,-54.6,-57.0,-57.1,-56.7,-48.1,-36.5,-26.6
-178.25,-87.25,-27.7,-39.1,-51.7,-55.4,-55.8,-56.3,-58.3,-58.4,-58.0,-49.5,-37.7,-27.7
-178.25,-87.75,-28.4,-40.1,-53.0,-56.5,-56.9,-57.3,-59.2,-59.3,-59.0,-50.5,-38.5,-28.4
-178.25,-88.25,-29.1,-41.1,-54.3,-57.7,-58.1,-58.6,-60.2,-60.2,-60.0,-51.5,-39.3,-29.1
-178.25,-88.75,-29.1,-41.2,-54.6,-58.0,-58.2,-58.8,-60.2,-60.3,-60.1,-51.6,-39.4,-29.0
-178.25,-89.25,-28.5,-40.9,-54.2,-57.6,-57.8,-58.4,-59.7,-59.8,-59.6,-51.2,-38.9,-28.5
-178.25,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-177.75,71.25,-23.1,-25.4,-24.2,-17.3,-6.7,0.6,2.4,2.0,-1.3,-8.4,-15.9,-22.1
-177.75,68.25,-23.0,-24.6,-21.7,-16.9,-6.4,2.6,5.5,4.5,1.2,-6.6,-14.2,-21.6
-177.75,67.75,-22.8,-23.8,-20.2,-16.7,-6.9,2.4,5.6,4.7,1.5,-6.0,-13.3,-21.0
-177.75,67.25,-21.5,-22.0,-18.1,-15.4,-6.3,3.1,6.4,5.8,2.5,-4.5,-11.5,-19.4
-177.75,66.75,-23.7,-23.4,-20.4,-17.2,-9.0,0.3,4.0,3.6,-0.1,-6.8,-13.9,-21.2
-177.75,66.25,-20.3,-19.6,-18.0,-13.3,-5.5,3.3,7.3,7.0,2.6,-4.0,-11.2,-17.5
-177.75,65.75,-18.9,-18.5,-17.7,-11.8,-4.1,4.1,8.3,8.2,3.2,-3.3,-10.7,-16.6
-177.75,-84.75,-19.3,-27.7,-38.7,-43.4,-44.7,-44.7,-48.4,-48.6,-47.6,-38.8,-27.9,-19.3
-177.75,-85.25,-19.4,-28.3,-39.6,-44.1,-45.4,-45.2,-48.7,-48.9,-48.0,-39.3,-28.2,-19.4
-177.75,-85.75,-22.6,-32.2,-43.8,-48.1,-49.1,-49.1,-52.2,-52.4,-51.7,-43.0,-31.7,-22.6
-177.75,-86.25,-25.0,-35.2,-47.2,-51.3,-51.9,-52.2,-54.8,-55.1,-54.4,-45.8,-34.4,-24.9
-177.75,-86.75,-26.7,-37.6,-49.9,-53.7,-54.3,-54.6,-56.9,-57.1,-56.6,-48.1,-36.4,-26.6
-177.75,-87.25,-27.7,-39.0,-51.7,-55.3,-55.8,-56.2,-58.2,-58.4,-58.0,-49.4,-37.6,-27.7
-177.75,-87.75,-28.4,-40.1,-53.0,-56.5,-56.9,-57.3,-59.2,-59.3,-59.0,-50.5,-38.5,-28.4
-177.75,-88.25,-29.1,-41.1,-54.3,-57.7,-58.1,-58.6,-60.2,-60.2,-60.0,-51.5,-39.3,-29.1
-177.75,-88.75,-29.1,-41.2,-54.6,-58.0,-58.2,-58.8,-60.2,-60.2,-60.1,-51.6,-39.4,-29.0
-177.75,-89.25,-28.4,-40.8,-54.2,-57.6,-57.8,-58.3,-59.7,-59.7,-59.6,-51.2,-38.8,-28.4
-177.75,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-177.25,67.75,-22.6,-23.6,-19.4,-16.8,-6.9,2.6,5.7,4.8,1.9,-5.6,-12.7,-20.9
-177.25,67.25,-22.0,-22.5,-17.6,-16.2,-7.0,2.8,6.1,5.2,2.5,-4.7,-11.6,-20.0
-177.25,66.75,-21.1,-21.0,-16.6,-15.0,-6.6,3.1,6.6,6.1,2.9,-3.9,-10.7,-18.8
-177.25,66.25,-21.4,-20.9,-18.2,-14.9,-7.0,2.2,6.0,5.6,1.9,-4.7,-11.8,-18.8
-177.25,65.75,-19.1,-18.7,-17.3,-12.3,-4.7,3.6,7.8,7.5,3.0,-3.4,-10.5,-16.7
-177.25,51.75,0.6,0.4,1.3,2.5,4.4,6.4,8.7,9.7,8.5,5.9,3.1,1.4
-177.25,-84.75,-18.0,-26.4,-37.3,-42.1,-43.4,-43.2,-47.1,-47.3,-46.3,-37.5,-26.6,-18.0
-177.25,-85.25,-17.7,-26.7,-37.9,-42.5,-43.7,-43.5,-47.0,-47.3,-46.4,-37.7,-26.6,-17.8
-177.25,-85.75,-22.7,-32.3,-43.9,-48.1,-49.1,-49.1,-52.3,-52.5,-51.7,-43.1,-31.8,-22.7
-177.25,-86.25,-24.9,-35.1,-47.1,-51.1,-51.8,-52.0,-54.7,-55.0,-54.3,-45.7,-34.3,-24.8
-177.25,-86.75,-26.7,-37.5,-49.9,-53.7,-54.3,-54.7,-56.9,-57.1,-56.6,-48.1,-36.4,-26.6
-177.25,-87.25,-27.6,-38.9,-51.6,-55.3,-55.7,-56.1,-58.2,-58.3,-57.9,-49.4,-37.6,-27.6
-177.25,-87.75,-28.4,-40.1,-53.0,-56.5,-56.9,-57.4,-59.2,-59.3,-58.9,-50.5,-38.5,-28.4
-177.25,-88.25,-29.1,-41.1,-54.3,-57.7,-58.0,-58.6,-60.2,-60.2,-60.0,-51.5,-39.3,-29.1
-177.25,-88.75,-29.1,-41.2,-54.5,-58.0,-58.2,-58.7,-60.2,-60.2,-60.1,-51.6,-39.4,-29.0
-177.25,-89.25,-28.4,-40.8,-54.2,-57.6,-57.7,-58.3,-59.7,-59.7,-59.6,-51.1,-38.8,-28.4
-177.25,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-176.75,67.75,-22.3,-23.3,-18.5,-16.6,-6.8,2.8,6.0,5.0,2.3,-5.1,-12.1,-20.5
-176.75,67.25,-22.4,-23.0,-17.3,-16.9,-7.5,2.5,5.7,4.7,2.4,-4.8,-11.6,-20.4
-176.75,66.75,-22.5,-22.6,-16.9,-16.7,-8.0,1.9,5.3,4.7,2.0,-4.8,-11.8,-20.2
-176.75,66.25,-21.7,-21.6,-17.2,-15.8,-7.4,2.1,5.7,5.1,2.0,-4.6,-11.6,-19.3
-176.75,65.75,-20.1,-20.1,-17.6,-14.0,-6.0,2.4,6.3,5.8,2.0,-4.4,-11.2,-17.9
-176.75,51.75,-0.9,-1.1,0.1,1.4,3.4,5.6,8.0,9.1,7.4,4.5,1.6,-0.1
-176.75,-84.75,-12.6,-21.0,-32.0,-36.7,-38.0,-37.9,-41.7,-41.9,-40.9,-32.1,-21.3,-12.6
-176.75,-85.25,-17.0,-25.9,-37.2,-41.7,-43.0,-42.8,-46.3,-46.5,-45.6,-37.0,-25.9,-17.1
-176.75,-85.75,-23.0,-32.5,-44.1,-48.3,-49.3,-49.3,-52.5,-52.7,-51.9,-43.3,-32.0,-22.9
-176.75,-86.25,-24.8,-34.9,-46.9,-51.0,-51.7,-51.9,-54.5,-54.8,-54.2,-45.6,-34.2,-24.7
-176.75,-86.75,-26.6,-37.5,-49.8,-53.6,-54.3,-54.6,-56.9,-57.0,-56.6,-48.0,-36.4,-26.5
-176.75,-87.25,-27.6,-38.9,-51.6,-55.2,-55.6,-56.0,-58.1,-58.2,-57.8,-49.3,-37.5,-27.6
-176.75,-87.75,-28.4,-40.0,-53.0,-56.5,-56.9,-57.3,-59.2,-59.3,-58.9,-50.5,-38.5,-28.4
-176.75,-88.25,-29.1,-41.1,-54.3,-57.7,-58.0,-58.5,-60.2,-60.2,-60.1,-51.5,-39.3,-29.1
-176.75,-88.75,-29.1,-41.2,-54.5,-58.0,-58.2,-58.7,-60.2,-60.2,-60.1,-51.6,-39.4,-28.9
-176.75,-89.25,-28.4,-40.8,-54.1,-57.6,-57.7,-58.3,-59.7,-59.7,-59.6,-51.1,-38.8,-28.4
-176.75,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-176.25,67.75,-22.4,-23.5,-18.0,-17.1,-7.2,2.6,5.7,4.7,2.3,-5.1,-12.0,-20.7
-176.25,67.25,-22.5,-23.2,-16.7,-17.4,-7.9,2.4,5.5,4.5,2.5,-4.8,-11.5,-20.6
-176.25,66.75,-22.5,-22.9,-15.9,-17.1,-8.2,2.1,5.4,4.5,2.4,-4.6,-11.4,-20.4
-176.25,66.25,-22.7,-22.9,-17.0,-17.2,-8.6,1.4,4.7,4.0,1.6,-5.3,-12.1,-20.5
-176.25,65.75,-19.3,-19.8,-16.2,-13.7,-5.4,3.0,6.6,6.0,2.9,-3.5,-10.2,-17.3
-176.25,-43.75,15.0,15.6,14.6,12.8,11.1,9.2,8.5,8.9,9.5,10.7,12.2,13.7
-176.25,-44.25,15.0,15.1,14.5,12.8,10.9,9.4,8.6,8.9,9.6,10.7,11.9,13.8
-176.25,-84.75,-9.9,-18.3,-29.2,-34.0,-35.3,-35.1,-39.0,-39.2,-38.2,-29.4,-18.6,-9.9
-176.25,-85.25,-16.5,-25.5,-36.7,-41.2,-42.5,-42.4,-45.8,-46.0,-45.2,-36.5,-25.4,-16.6
-176.25,-85.75,-23.3,-32.7,-44.4,-48.6,-49.6,-49.6,-52.8,-53.0,-52.3,-43.6,-32.3,-23.2
-176.25,-86.25,-24.7,-34.9,-46.8,-50.9,-51.6,-51.8,-54.5,-54.7,-54.1,-45.5,-34.1,-24.6
-176.25,-86.75,-26.6,-37.5,-49.8,-53.6,-54.2,-54.5,-56.8,-57.0,-56.5,-48.0,-36.3,-26.5
-176.25,-87.25,-27.5,-38.8,-51.5,-55.1,-55.5,-55.9,-58.0,-58.2,-57.8,-49.2,-37.4,-27.5
-176.25,-87.75,-28.4,-40.0,-53.0,-56.5,-56.9,-57.3,-59.1,-59.2,-58.9,-50.5,-38.4,-28.4
-176.25,-88.25,-29.1,-41.1,-54.3,-57.7,-58.0,-58.5,-60.2,-60.2,-60.1,-51.5,-39.3,-29.1
-176.25,-88.75,-29.0,-41.2,-54.5,-58.0,-58.2,-58.7,-60.2,-60.2,-60.1,-51.5,-39.4,-28.9
-176.25,-89.25,-28.4,-40.8,-54.1,-57.5,-57.7,-58.3,-59.7,-59.7,-59.6,-51.1,-38.8,-28.4
-176.25,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-175.75,67.75,-22.3,-23.3,-17.1,-17.2,-7.4,2.7,5.8,4.7,2.8,-4.7,-11.6,-20.5
-175.75,67.25,-22.3,-22.9,-15.5,-17.3,-7.9,2.8,5.8,4.8,3.1,-4.1,-10.9,-20.2
-175.75,66.75,-22.2,-22.7,-14.9,-17.1,-7.9,2.6,5.8,4.8,3.1,-4.0,-10.7,-20.0
-175.75,66.25,-22.3,-22.9,-16.3,-17.1,-8.4,1.6,4.9,4.0,2.0,-4.8,-11.6,-20.3
-175.75,65.75,-19.4,-20.4,-15.5,-14.4,-5.7,3.0,6.4,5.6,3.0,-3.6,-10.0,-17.7
-175.75,65.25,-15.1,-16.6,-14.1,-10.2,-2.1,4.2,7.7,7.4,3.9,-2.1,-7.7,-13.9
-175.75,-84.75,-15.2,-23.6,-34.5,-39.3,-40.6,-40.4,-44.3,-44.5,-43.5,-34.7,-23.8,-15.3
-175.75,-85.25,-17.2,-26.1,-37.4,-41.9,-43.2,-43.1,-46.5,-46.7,-45.8,-37.2,-26.1,-17.3
-175.75,-85.75,-23.5,-33.0,-44.6,-48.9,-49.9,-49.9,-53.1,-53.3,-52.5,-43.9,-32.6,-23.5
-175.75,-86.25,-24.6,-34.8,-46.7,-50.8,-51.5,-51.7,-54.4,-54.7,-54.0,-45.4,-34.1,-24.5
-175.75,-86.75,-26.6,-37.4,-49.8,-53.6,-54.2,-54.4,-56.8,-57.0,-56.5,-48.0,-36.3,-26.5
-175.75,-87.25,-27.4,-38.7,-51.4,-55.0,-55.4,-55.8,-57.9,-58.0,-57.7,-49.1,-37.3,-27.4
-175.75,-87.75,-28.3,-40.0,-52.9,-56.5,-56.9,-57.3,-59.1,-59.2,-58.9,-50.5,-38.4,-28.3
-175.75,-88.25,-29.1,-41.1,-54.3,-57.7,-58.0,-58.5,-60.2,-60.2,-60.1,-51.5,-39.4,-29.1
-175.75,-88.75,-29.0,-41.2,-54.5,-58.0,-58.2,-58.7,-60.2,-60.2,-60.1,-51.5,-39.4,-28.9
-175.75,-89.25,-28.4,-40.8,-54.1,-57.5,-57.7,-58.3,-59.7,-59.7,-59.6,-51.1,-38.8,-28.4
-175.75,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-175.25,67.25,-22.3,-22.9,-14.8,-17.4,-8.0,2.8,5.9,4.8,3.4,-3.8,-10.5,-20.2
-175.25,66.75,-22.4,-23.0,-14.7,-17.6,-8.3,2.5,5.7,4.5,3.2,-4.0,-10.6,-20.3
-175.25,66.25,-21.1,-21.9,-15.3,-16.0,-7.1,2.7,6.1,5.0,3.2,-3.7,-10.3,-19.0
-175.25,65.75,-19.5,-20.8,-15.8,-14.6,-5.8,2.7,6.1,5.2,2.7,-3.9,-10.2,-17.8
-175.25,65.25,-18.4,-20.2,-17.5,-13.6,-5.4,0.9,4.5,4.0,0.7,-5.3,-11.1,-17.2
-175.25,-84.75,-16.7,-25.1,-36.1,-40.8,-42.1,-41.9,-45.8,-46.0,-45.0,-36.2,-25.4,-16.8
-175.25,-85.25,-21.4,-30.3,-41.6,-46.1,-47.4,-47.2,-50.7,-50.9,-50.1,-41.4,-30.3,-21.5
-175.25,-85.75,-23.6,-33.3,-44.8,-49.0,-50.1,-50.1,-53.1,-53.4,-52.7,-44.0,-32.8,-23.7
-175.25,-86.25,-24.5,-34.7,-46.7,-50.7,-51.4,-51.6,-54.3,-54.6,-54.0,-45.3,-34.0,-24.4
-175.25,-86.75,-26.5,-37.4,-49.7,-53.5,-54.1,-54.4,-56.7,-56.9,-56.5,-47.9,-36.3,-26.4
-175.25,-87.25,-27.3,-38.6,-51.2,-54.9,-55.3,-55.7,-57.8,-57.9,-57.5,-49.0,-37.2,-27.3
-175.25,-87.75,-28.3,-40.0,-52.9,-56.4,-56.8,-57.2,-59.1,-59.2,-58.9,-50.5,-38.4,-28.3
-175.25,-88.25,-29.1,-41.1,-54.3,-57.7,-58.0,-58.5,-60.2,-60.2,-60.0,-51.5,-39.4,-29.1
-175.25,-88.75,-29.0,-41.3,-54.5,-57.9,-58.1,-58.7,-60.2,-60.2,-60.1,-51.5,-39.3,-28.9
-175.25,-89.25,-28.4,-40.8,-54.1,-57.5,-57.7,-58.3,-59.6,-59.6,-59.5,-51.1,-38.8,-28.4
-175.25,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-174.75,67.25,-22.4,-22.8,-14.1,-17.7,-8.2,2.9,6.0,4.7,3.7,-3.6,-10.3,-20.2
-174.75,66.75,-21.9,-22.6,-14.0,-17.3,-7.9,2.9,6.1,4.9,3.7,-3.4,-10.1,-19.9
-174.75,66.25,-21.2,-22.3,-15.7,-16.3,-7.4,2.4,5.7,4.6,2.9,-4.0,-10.6,-19.2
-174.75,65.75,-19.2,-20.7,-16.0,-14.2,-5.5,2.6,6.1,5.4,2.8,-3.8,-10.2,-17.4
-174.75,65.25,-16.7,-18.5,-15.9,-11.8,-3.7,2.7,6.3,5.8,2.5,-3.4,-9.3,-15.4
-174.75,-84.75,-14.4,-22.8,-33.7,-38.5,-39.8,-39.6,-43.4,-43.7,-42.7,-33.9,-23.1,-14.5
-174.75,-85.25,-21.6,-30.5,-41.7,-46.2,-47.5,-47.3,-50.8,-51.0,-50.2,-41.5,-30.4,-21.6
-174.75,-85.75,-23.8,-33.4,-44.9,-49.1,-50.2,-50.1,-53.2,-53.5,-52.8,-44.1,-32.9,-23.8
-174.75,-86.25,-24.5,-34.7,-46.6,-50.6,-51.3,-51.5,-54.2,-54.5,-53.9,-45.3,-33.8,-24.4
-174.75,-86.75,-26.5,-37.3,-49.7,-53.4,-54.1,-54.3,-56.7,-56.9,-56.4,-47.9,-36.2,-26.4
-174.75,-87.25,-27.2,-38.5,-51.1,-54.8,-55.2,-55.6,-57.7,-57.8,-57.4,-48.9,-37.1,-27.2
-174.75,-87.75,-28.3,-40.0,-52.9,-56.4,-56.8,-57.3,-59.1,-59.2,-58.9,-50.5,-38.4,-28.3
-174.75,-88.25,-29.1,-41.2,-54.3,-57.7,-58.0,-58.5,-60.2,-60.2,-60.0,-51.5,-39.4,-29.1
-174.75,-88.75,-29.0,-41.3,-54.5,-57.9,-58.1,-58.7,-60.1,-60.2,-60.0,-51.5,-39.2,-28.9
-174.75,-89.25,-28.3,-40.7,-54.1,-57.5,-57.7,-58.2,-59.6,-59.6,-59.5,-51.1,-38.7,-28.3
-174.75,-89.75,-27.7,-40.2,-53.6,-57.0,-57.2,-57.7,-59.1,-59.1,-59.0,-50.5,-38.1,-27.7
-174.25,66.25,-20.6,-21.6,-15.1,-15.6,-6.6,3.0,6.4,5.4,3.6,-3.3,-9.9,-18.4
-174.25,65.75,-20.4,-22.0,-17.7,-15.4,-6.8,1.1,4.7,4.0,1.3,-5.1,-11.6,-18.7
-174.25,65.25,-18.0,-19.8,-17.3,-12.9,-4.8,1.5,5.3,4.8,1.4,-4.7,-10.6,-16.6
-174.25,64.75,-13.8,-15.9,-14.1,-9.3,-1.4,3.9,7.7,7.4,3.8,-2.0,-7.4,-12.9
-174.25,-82.75,-5.0,-12.0,-22.0,-27.5,-29.2,-28.6,-33.4,-33.7,-32.4,-23.4,-13.1,-5.0
-174.25,-84.75,-13.3,-21.7,-32.6,-37.3,-38.7,-38.4,-42.3,-42.5,-41.6,-32.8,-21.9,-13.4
-174.25,-85.25,-22.8,-31.7,-42.9,-47.4,-48.6,-48.5,-52.0,-52.2,-51.4,-42.7,-31.6,-22.8
-174.25,-85.75,-23.9,-33.5,-45.0,-49.2,-50.2,-50.2,-53.3,-53.6,-52.9,-44.2,-33.0,-23.9
-174.25,-86.25,-24.5,-34.7,-46.6,-50.6,-51.3,-51.5,-54.2,-54.5,-53.9,-45.3,-33.8,-24.4
-174.25,-86.75,-26.4,-37.2,-49.6,-53.4,-54.0,-54.2,-56.6,-56.8,-56.3,-47.8,-36.1,-26.3
-174.25,-87.25,-27.1,-38.4,-51.0,-54.6,-55.1,-55.5,-57.6,-57.7,-57.3,-48.8,-37.0,-27.1
-174.25,-87.75,-28.3,-40.0,-52.9,-56.4,-56.8,-57.2,-59.1,-59.2,-58.8,-50.4,-38.4,-28.3
