Longitud	Latitud	Enero	Febrero	Marzo	Abril	Mayo	Junio	Julio	Agosto	Septimbre	Octubre	 Noviembre	 Diciembre Media
-179,750 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,1   -58,6º   -60,1   -60.2º   -60,0   -51,5   -39,3   -29,1   -50,0
-179,750 -88,750   -29,1   -41,3   -54,6º   -58,1   -58,3   -58.8º   -60,3   -60,3   -60.2º   -51,6º   -39,5   -29,0   -52.2º
-179,750 -89.2º50   -28,5   -40.9   -54.2º   -57,7   -57.9   -58.4   -59.8º   -59.8º   -59,7   -51.2º   -38.9   -28,5   -49,7
-179,750 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-179.2º50  71.2º50   -23,5   -26.2º   -24.8º   -18,3    -7,6º    -0.4     1.4     1,0    -2.2º    -8,7   -16.2º   -22,7   -12,1
-179.2º50  68,750   -24,0   -26,6º   -24,7   -17.9    -6,3     2,1     4.8º     3,6º    -0,1    -8.4   -16,1   -23.2º   -11.4
-179.2º50  68.2º50   -25.4   -27,3   -25.4   -19,0    -8,3     0,3     3,3     2,3    -1,5    -9.4   -17,1   -24.2º   -14,5
-179.2º50  67,750   -24,7   -25.8º   -23.9   -18,0    -8.4     0,5     3,7     3,0    -0.9    -8,3   -16,0   -23,0   -11.8º
-179.2º50  67.2º50   -22,5   -22,6º   -21,3   -15.4    -6.9     2,0     5,6º     5,1     0.9    -6,1   -13,6º   -20.2º    -9,5
-179.2º50  66,750   -21.9   -21,1   -20.8º   -14.2º    -6,6º     1.8º     5.9     5.8º     0.8º    -5.8º   -13,1   -19,0    -8.9
-179.2º50 -84,750   -17,1   -25,6º   -36,6º   -41.4   -42,6º   -42,6º   -46,3   -46,6º   -45,5   -36,7   -25.8º   -17,1   -35,3
-179.2º50 -85.2º50   -23,5   -32.4   -43.8º   -48,3   -49,6º   -49.4   -52.9   -53,1   -52.2º   -43,5   -32.4   -23,6º   -45.2º
-179.2º50 -85,750   -23,0   -32,5   -44,1   -48.4   -49.4   -49.4   -52,6º   -52,7   -52,0   -43,3   -32,0   -22.9   -42,0
-179.2º50 -86.2º50   -25,1   -35,3   -47,3   -51.4   -52,1   -52.4   -54.9   -55.2º   -54,6º   -45.9   -34.4   -25,0   -44,6º
-179.2º50 -86,750   -26.8º   -37,6º   -50,0   -53.8º   -54.4   -54.8º   -57,0   -57.2º   -56,7   -48.2º   -36,5   -26,7   -46,7
-179.2º50 -87.2º50   -27.8º   -39,1   -51.8º   -55.4   -56,0   -56,3   -58,3   -58,5   -58,1   -49,6º   -37,7   -27.8º   -48,1
-179.2º50 -87,750   -28.4   -40,1   -53,0   -56,5   -56.9   -57.4   -59.2º   -59,3   -59,0   -50,6º   -38,5   -28.4   -43,0
-179.2º50 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,1   -58,6º   -60,1   -60.2º   -60,0   -51,5   -39,3   -29,1   -50,0
-179.2º50 -88,750   -29,1   -41,3   -54,6º   -58,1   -58,3   -58.8º   -60,3   -60,3   -60.2º   -51,6º   -39.4   -29,0   -50.2º
-179.2º50 -89.2º50   -28,5   -40.9   -54.2º   -57,7   -57.9   -58.4   -59.8º   -59.8º   -59,7   -51.2º   -38.9   -28,5   -49,7
-179.2º50 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -44,0
-178,750  71.2º50   -23,3   -25.9   -24,6º   -17.9    -7.2º     0,0     1.8º     1,3    -1.8º    -8,5   -16,1   -22,5   -11.9
-178,750  68.2º50   -23,5   -25,3   -23.2º   -17.2º    -6,6º     2,1     5,1     4,1     0.4    -7.4   -15,1   -22,3   -10,7
-178,750  67,750   -23,1   -24,1   -21,7   -16,6º    -7,0     1.9     5.2º     4.4     0,7    -6,7   -14.2º   -21,3   -10.2º
-178,750  67.2º50   -21.2º   -21.4   -19.4   -14.4    -5.8º     3,3     6.8º     6,3     2.2º    -4.8º   -12,1   -19,0    -8.2º
-178,750  66,750   -22.4   -21,7   -20.8º   -14.9    -7,3     1.4     5.4     5.2º     0.4    -6,0   -13.4   -19,6º    -9.4
-178,750  66.2º50   -20,3   -19,3   -19.4   -12,5    -5.2º     3,1     7,5     7.4     2,1    -4.4   -11.9   -17,5    -7.4
-178,750 -84,750   -19.4   -27.8º   -38.8º   -43,6º   -44.9   -44.8º   -48,5   -48.8º   -47,7   -38.9   -28,0   -19.4   -37,5
-178,750 -85.2º50   -23,1   -32,1   -43.4   -47.9   -49.2º   -49,0   -52,5   -52,7   -51.8º   -43,1   -32,0   -23.2º   -41,7
-178,750 -85,750   -22.8º   -32.4   -43.9   -48.2º   -49.2º   -49.2º   -52.4   -52,6º   -51.8º   -43,1   -31.9   -22.8º   -41.8º
-178,750 -86.2º50   -25,1   -35,3   -47,3   -51.4   -52,1   -52.4   -54.9   -55.2º   -54,6º   -45.9   -34.4   -25,0   -44,6º
-178,750 -86,750   -26,7   -37,6º   -50,0   -53.8º   -54.4   -54.8º   -57,0   -57.2º   -56,7   -48.2º   -36,5   -26,7   -46,7
-178,750 -87.2º50   -27.8º   -39,1   -51.8º   -55.4   -55.8º   -56.2º   -58,3   -58.4   -58,1   -49,5   -37,7   -27.8º   -48,1
-178,750 -87,750   -28.4   -40,1   -53,0   -56,5   -56.9   -57.4   -59.2º   -59,3   -59,0   -50,5   -38,5   -28.4   -49,0
-178,750 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,1   -58,6º   -60.2º   -60.2º   -60,0   -51,5   -39,3   -29,1   -52,0
-178,750 -88,750   -29,1   -41,3   -54,6º   -58,0   -58.2º   -58.8º   -60,3   -60,3   -60,1   -51,6º   -39.4   -29,0   -53.2º
-178,750 -89.2º50   -28,5   -40.9   -54.2º   -57,6º   -57.9   -58.4   -59.8º   -59.8º   -59,7   -51.2º   -38.9   -28,5   -49,7
-178,750 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-178.2º50  71.2º50   -23,7   -26.2º   -24.9   -18,1    -7,5    -0.2º     1,6º     1,1    -2,1    -9,0   -16,5   -22.8º   -12.2º
-178.2º50  68.2º50   -24.2º   -25.8º   -23.4   -17.9    -7,3     1.4     4.4     3.4     0,0    -7.9   -15,5   -22.8º   -11.2º
-178.2º50  67,750   -22,3   -23,3   -20.4   -16,0    -6,3     2.9     6,0     5,3     1,7    -5,7   -13,1   -20,6º    -9,3
-178.2º50  67.2º50   -22,3   -22,7   -19.8º   -15.9    -7,1     2.2º     5,6º     5,0     1,3    -5,7   -12.8º   -20,3    -9,3
-178.2º50  66,750   -23,7   -23.2º   -21.4   -16,7    -8,7     0.2º     4,1     3,7    -0,5    -7.2º   -14.4   -21,1   -10,7
-178.2º50  66.2º50   -18.8º   -18.2º   -17,3   -11,5    -3.9     4,7     8.9     8,6º     3.8º    -2.8º   -10.2º   -16.2º    -5.9
-178.2º50  65,750   -18,1   -17.8º   -17,3   -10.8º    -3.2º     4.9     9,3     9,1     3.9    -2.9   -10,3   -15.9    -5,7
-178.2º50 -84,750   -19.9   -28,3   -39,3   -44,1   -45.4   -45,3   -49,0   -49,3   -48.2º   -39.4   -28,5   -19.9   -38,1
-178.2º50 -85.2º50   -21,3   -30,3   -41,6º   -46,1   -47,3   -47.2º   -50,7   -50.9   -50,0   -41,3   -30.2º   -21.4   -39.9
-178.2º50 -85,750   -22,7   -32.2º   -43.8º   -48,1   -49,1   -49,1   -52,3   -52.4   -51,7   -43,0   -31,7   -22,6º   -41,7
-178.2º50 -86.2º50   -25,1   -35,3   -47.2º   -51,3   -52,0   -52,3   -54.9   -55,1   -54,5   -45.9   -34,5   -25,0   -44,5
-178.2º50 -86,750   -26,7   -37,6º   -50,0   -53.8º   -54.4   -54,6º   -57,0   -57,1   -56,7   -48,1   -36,5   -26,6º   -46,7
-178.2º50 -87.2º50   -27,7   -39,1   -51,7   -55.4   -55.8º   -56,3   -58,3   -58.4   -58,0   -49,5   -37,7   -27,7   -48,0
-178.2º50 -87,750   -28.4   -40,1   -53,0   -56,5   -56.9   -57,3   -59.2º   -59,3   -59,0   -50,5   -38,5   -28.4   -49,0
-178.2º50 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,1   -58,6º   -60.2º   -60.2º   -60,0   -51,5   -39,3   -29,1   -50,0
-178.2º50 -88,750   -29,1   -41.2º   -54,6º   -58,0   -58.2º   -58.8º   -60.2º   -60,3   -60,1   -51,6º   -39.4   -29,0   -50.2º
-178.2º50 -89.2º50   -28,5   -40.9   -54.2º   -57,6º   -57.8º   -58.4   -59,7   -59.8º   -59,6º   -51.2º   -38.9   -28,5   -49,7
-178.2º50 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-177,750  71.2º50   -23,1   -25.4   -24.2º   -17,3    -6,7     0,6º     2.4     2,0    -1,3    -8.4   -15.9   -22,1   -11,5
-177,750  68.2º50   -23,0   -24,6º   -21,7   -16.9    -6.4     2,6º     5,5     4,5     1.2º    -6,6º   -14.2º   -21,6º   -10,0
-177,750  67,750   -22.8º   -23.8º   -20.2º   -16,7    -6.9     2.4     5,6º     4,7     1,5    -6,0   -13,3   -21,0    -9,6º
-177,750  67.2º50   -21,5   -22,0   -18,1   -15.4    -6,3     3,1     6.4     5.8º     2,5    -4,5   -11,5   -19.4    -8.4
-177,750  66,750   -23,7   -23.4   -20.4   -17.2º    -9,0     0,3     4,0     3,6º    -0,1    -6.8º   -13.9   -21.2º   -10,5
-177,750  66.2º50   -20,3   -19,6º   -18,0   -13,3    -5,5     3,3     7,3     7,0     2,6º    -4,0   -11.2º   -17,5    -7,3
-177,750  65,750   -18.9   -18,5   -17,7   -11.8º    -4,1     4,1     8,3     8.2º     3.2º    -3,3   -10,7   -16,6º    -6.4
-177,750 -84,750   -19,3   -27,7   -38,7   -43.4   -44,7   -44,7   -48.4   -48,6º   -47,6º   -38.8º   -27.9   -19,3   -37.4
-177,750 -85.2º50   -19.4   -28,3   -39,6º   -44,1   -45.4   -45.2º   -48,7   -48.9   -48,0   -39,3   -28.2º   -19.4   -37.9
-177,750 -85,750   -22,6º   -32.2º   -43.8º   -48,1   -49,1   -49,1   -52.2º   -52.4   -51,7   -43,0   -31,7   -22,6º   -45,7
-177,750 -86.2º50   -25,0   -35.2º   -47.2º   -51,3   -51.9   -52.2º   -54.8º   -55,1   -54.4   -45.8º   -34.4   -24.9   -44.4
-177,750 -86,750   -26,7   -37,6º   -49.9   -53,7   -54,3   -54,6º   -56.9   -57,1   -56,6º   -48,1   -36.4   -26,6º   -46,7
-177,750 -87.2º50   -27,7   -39,0   -51,7   -55,3   -55.8º   -56.2º   -58.2º   -58.4   -58,0   -49.4   -37,6º   -27,7   -48,0
-177,750 -87,750   -28.4   -40,1   -53,0   -56,5   -56.9   -57,3   -59.2º   -59,3   -59,0   -50,5   -38,5   -28.4   -49,0
-177,750 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,1   -58,6º   -60.2º   -60.2º   -60,0   -51,5   -39,3   -29,1   -50,0
-177,750 -88,750   -29,1   -41.2º   -54,6º   -58,0   -58.2º   -58.8º   -60.2º   -60.2º   -60,1   -51,6º   -39.4   -29,0   -50,1
-177,750 -89.2º50   -28.4   -40.8º   -54.2º   -57,6º   -57.8º   -58,3   -59,7   -59,7   -59,6º   -51.2º   -38.8º   -28.4   -49,6º
-177,750 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-177.2º50  67,750   -22,6º   -23,6º   -19.4   -16.8º    -6.9     2,6º     5,7     4.8º     1.9    -5,6º   -12,7   -20.9    -9.4
-177.2º50  67.2º50   -22,0   -22,5   -17,6º   -16.2º    -7,0     2.8º     6,1     5.2º     2,5    -4,7   -11,6º   -20,0    -8,7
-177.2º50  66,750   -21,1   -21,0   -16,6º   -15,0    -6,6º     3,1     6,6º     6,1     2.9    -3.9   -10,7   -18.8º    -7.8º
-177.2º50  66.2º50   -21.4   -20.9   -18.2º   -14.9    -7,0     2.2º     6,0     5,6º     1.9    -4,7   -11.8º   -18.8º    -8.4
-177.2º50  65,750   -19,1   -18,7   -17,3   -12,3    -4,7     3,6º     7.8º     7,5     3,0    -3.4   -10,5   -16,7    -8,7
-177.2º50  51,750     0,6º     0.4     1,3     2,5     4.4     6.4     8,7     9,7     8,5     5.9     3,1     1.4     4,5
-177.2º50 -84,750   -18,0   -26.4   -37,3   -42,1   -43.4   -43.2º   -47,1   -47,3   -46,3   -37,5   -26,6º   -18,0   -36,1
-177.2º50 -85.2º50   -17,7   -26,7   -37.9   -42,5   -43,7   -43,5   -47,0   -47,3   -46.4   -37,7   -26,6º   -17.8º   -36,3
-177.2º50 -85,750   -22,7   -32,3   -43.9   -48,1   -49,1   -49,1   -52,3   -52,5   -51,7   -43,1   -31.8º   -22,7   -41,7
-177.2º50 -86.2º50   -24.9   -35,1   -47,1   -51,1   -51.8º   -52,0   -54,7   -55,0   -54,3   -45,7   -34,3   -24.8º   -44,3
-177.2º50 -86,750   -26,7   -37,5   -49.9   -53,7   -54,3   -54,7   -56.9   -57,1   -56,6º   -48,1   -36.4   -26,6º   -46,6º
-177.2º50 -87.2º50   -27,6º   -38.9   -51,6º   -55,3   -55,7   -56,1   -58.2º   -58,3   -57.9   -49.4   -37,6º   -27,6º   -47.9
-177.2º50 -87,750   -28.4   -40,1   -53,0   -56,5   -56.9   -57.4   -59.2º   -59,3   -58.9   -50,5   -38,5   -28.4   -49,0
-177.2º50 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,0   -58,6º   -60.2º   -60.2º   -60,0   -51,5   -39,3   -29,1   -50,0
-177.2º50 -88,750   -29,1   -41.2º   -54,5   -58,0   -58.2º   -58,7   -60.2º   -60.2º   -60,1   -51,6º   -39.4   -29,0   -50,1
-177.2º50 -89.2º50   -28.4   -40.8º   -54.2º   -57,6º   -57,7   -58,3   -59,7   -59,7   -59,6º   -51,1   -38.8º   -28.4   -49,6º
-177.2º50 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-176,750  67,750   -22,3   -23,3   -18,5   -16,6º    -6.8º     2.8º     6,0     5,0     2,3    -5,1   -12,1   -20,5    -9,0
-176,750  67.2º50   -22.4   -23,0   -17,3   -16.9    -7,5     2,5     5,7     4,7     2.4    -4.8º   -11,6º   -20.4    -9,1
-176,750  66,750   -22,5   -22,6º   -16.9   -16,7    -8,0     1.9     5,3     4,7     2,0    -4.8º   -11.8º   -20.2º    -9,1
-176,750  66.2º50   -21,7   -21,6º   -17.2º   -15.8º    -7.4     2,1     5,7     5,1     2,0    -4,6º   -11,6º   -19,3    -8,6º
-176,750  65,750   -20,1   -20,1   -17,6º   -14,0    -6,0     2.4     6,3     5.8º     2,0    -4.4   -11.2º   -17.9    -7,7
-176,750  51,750    -0.9    -1,1     0,1     1.4     3.4     5,6º     8,0     9,1     7.4     4,5     1,6º    -0,1     3.2º
-176,750 -84,750   -12,6º   -21,0   -32,0   -36,7   -38,0   -37.9   -41,7   -41.9   -40.9   -32,1   -21,3   -12,6º   -30,7
-176,750 -85.2º50   -17,0   -25.9   -37.2º   -41,7   -43,0   -42.8º   -46,3   -46,5   -45,6º   -37,0   -25.9   -17,1   -35,5
-176,750 -85,750   -23,0   -32,5   -44,1   -48,3   -49,3   -49,3   -52,5   -52,7   -51.9   -43,3   -32,0   -22.9   -41.9
-176,750 -86.2º50   -24.8º   -34.9   -46.9   -51,0   -51,7   -51.9   -54,5   -54.8º   -54.2º   -45,6º   -34.2º   -24,7   -44.2º
-176,750 -86,750   -26,6º   -37,5   -49.8º   -53,6º   -54,3   -54,6º   -56.9   -57,0   -56,6º   -48,0   -36.4   -26,5   -46,6º
-176,750 -87.2º50   -27,6º   -38.9   -51,6º   -55.2º   -55,6º   -56,0   -58,1   -58.2º   -57.8º   -49,3   -37,5   -27,6º   -47.9
-176,750 -87,750   -28.4   -40,0   -53,0   -56,5   -56.9   -57,3   -59.2º   -59,3   -58.9   -50,5   -38,5   -28.4   -49,0
-176,750 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,0   -58,5   -60.2º   -60.2º   -60,1   -51,5   -39,3   -29,1   -50,0
-176,750 -88,750   -29,1   -41.2º   -54,5   -58,0   -58.2º   -58,7   -60.2º   -60.2º   -60,1   -51,6º   -39.4   -28.9   -50,1
-176,750 -89.2º50   -28.4   -40.8º   -54,1   -57,6º   -57,7   -58,3   -59,7   -59,7   -59,6º   -51,1   -38.8º   -28.4   -49,6º
-176,750 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-176.2º50  67,750   -22.4   -23,5   -18,0   -17,1    -7.2º     2,6º     5,7     4,7     2,3    -5,1   -12,0   -20,7    -9.2º
-176.2º50  67.2º50   -22,5   -23.2º   -16,7   -17.4    -7.9     2.4     5,5     4,5     2,5    -4.8º   -11,5   -20,6º    -9.2º
-176.2º50  66,750   -22,5   -22.9   -15.9   -17,1    -8.2º     2,1     5.4     4,5     2.4    -4,6º   -11.4   -20.4    -10,0
-176.2º50  66.2º50   -22,7   -22.9   -17,0   -17.2º    -8,6º     1.4     4,7     4,0     1,6º    -5,3   -12,1   -20,5    -9,5
-176.2º50  65,750   -19,3   -19.8º   -16.2º   -13,7    -5.4     3,0     6,6º     6,0     2.9    -3,5   -10.2º   -17,3    -7,1
-176.2º50 -43,750    15,0    15,6º    14,6º    12.8º    11,1     9.2º     8,5     8.9     9,5    10,7    12.2º    13,7    11.8º
-176.2º50 -44.2º50    15,0    15,1    14,5    12.8º    10.9     9.4     8,6º     8.9     9,6º    10,7    11.9    13.8º    11,7
-176.2º50 -84,750    -9.9   -18,3   -29.2º   -34,0   -35,3   -35,1   -39,0   -39.2º   -38.2º   -29.4   -18,6º    -9.9   -28,0
-176.2º50 -85.2º50   -16,5   -25,5   -36,7   -41.2º   -42,5   -42.4   -45.8º   -46,0   -45.2º   -36,5   -25.4   -16,6º   -35,0
-176.2º50 -85,750   -23,3   -32,7   -44.4   -48,6º   -49,6º   -49,6º   -52.8º   -53,0   -52,3   -43,6º   -32,3   -23.2º   -42.2º
-176.2º50 -86.2º50   -24,7   -34.9   -46.8º   -50.9   -51,6º   -51.8º   -54,5   -54,7   -54,1   -45,5   -34,1   -24,6º   -44,1
-176.2º50 -86,750   -26,6º   -37,5   -49.8º   -53,6º   -54.2º   -54,5   -56.8º   -57,0   -56,5   -48,0   -36,3   -26,5   -46,5
-176.2º50 -87.2º50   -27,5   -38.8º   -51,5   -55,1   -55,5   -55.9   -58,0   -58.2º   -57.8º   -49.2º   -37.4   -27,5   -47.8º
-176.2º50 -87,750   -28.4   -40,0   -53,0   -56,5   -56.9   -57,3   -59,1   -59.2º   -58.9   -50,5   -38.4   -28.4   -48.9
-176.2º50 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,0   -58,5   -60.2º   -60.2º   -60,1   -51,5   -39,3   -29,1   -53,0
-176.2º50 -88,750   -29,0   -41.2º   -54,5   -58,0   -58.2º   -58,7   -60.2º   -60.2º   -60,1   -51,5   -39.4   -28.9   -50,1
-176.2º50 -89.2º50   -28.4   -40.8º   -54,1   -57,5   -57,7   -58,3   -59,7   -59,7   -59,6º   -51,1   -38.8º   -28.4   -49,6º
-176.2º50 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-175,750  67,750   -22,3   -23,3   -17,1   -17.2º    -7.4     2,7     5.8º     4,7     2.8º    -4,7   -11,6º   -20,5    -9,0
-175,750  67.2º50   -22,3   -22.9   -15,5   -17,3    -7.9     2.8º     5.8º     4.8º     3,1    -4,1   -10.9   -20.2º    -8,6º
-175,750  66,750   -22.2º   -22,7   -14.9   -17,1    -7.9     2,6º     5.8º     4.8º     3,1    -4,0   -10,7   -20,0    -8,6º
-175,750  66.2º50   -22,3   -22.9   -16,3   -17,1    -8.4     1,6º     4.9     4,0     2,0    -4.8º   -11,6º   -20,3    -9.2º
-175,750  65,750   -19.4   -20.4   -15,5   -14.4    -5,7     3,0     6.4     5,6º     3,0    -3,6º   -10,0   -17,7    -7,3
-175,750  65.2º50   -15,1   -16,6º   -14,1   -10.2º    -2,1     4.2º     7,7     7.4     3.9    -2,1    -7,7   -13.9    -4.8º
-175,750 -84,750   -15.2º   -23,6º   -34,5   -39,3   -40,6º   -40.4   -44,3   -44,5   -43,5   -34,7   -23.8º   -15,3   -33,3
-175,750 -85.2º50   -17.2º   -26,1   -37.4   -41.9   -43.2º   -43,1   -46,5   -46,7   -45.8º   -37.2º   -26,1   -17,3   -35,7
-175,750 -85,750   -23,5   -33,0   -44,6º   -48.9   -49.9   -49.9   -53,1   -53,3   -52,5   -43.9   -32,6º   -23,5   -42,5
-175,750 -86.2º50   -24,6º   -34.8º   -46,7   -50.8º   -51,5   -51,7   -54.4   -54,7   -54,0   -45.4   -34,1   -24,5   -47,0
-175,750 -86,750   -26,6º   -37.4   -49.8º   -53,6º   -54.2º   -54.4   -56.8º   -57,0   -56,5   -48,0   -36,3   -26,5   -46,5
-175,750 -87.2º50   -27.4   -38,7   -51.4   -55,0   -55.4   -55.8º   -57.9   -58,0   -57,7   -49,1   -37,3   -27.4   -47,7
-175,750 -87,750   -28,3   -40,0   -52.9   -56,5   -56.9   -57,3   -59,1   -59.2º   -58.9   -50,5   -38.4   -28,3   -48.9
-175,750 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,0   -58,5   -60.2º   -60.2º   -60,1   -51,5   -39.4   -29,1   -50,0
-175,750 -88,750   -29,0   -41.2º   -54,5   -58,0   -58.2º   -58,7   -60.2º   -60.2º   -60,1   -51,5   -39.4   -28.9   -50,1
-175,750 -89.2º50   -28.4   -40.8º   -54,1   -57,5   -57,7   -58,3   -59,7   -59,7   -59,6º   -51,1   -38.8º   -28.4   -49,6º
-175,750 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
-175.2º50  67.2º50   -22,3   -22.9   -14.8º   -17.4    -8,0     2.8º     5.9     4.8º     3.4    -3.8º   -10,5   -20.2º    -8,5
-175.2º50  66,750   -22.4   -23,0   -14,7   -17,6º    -8,3     2,5     5,7     4,5     3.2º    -4,0   -10,6º   -20,3    -8,7
-175.2º50  66.2º50   -21,1   -21.9   -15,3   -16,0    -7,1     2,7     6,1     5,0     3.2º    -3,7   -10,3   -19,0    -8,1
-175.2º50  65,750   -19,5   -20.8º   -15.8º   -14,6º    -5.8º     2,7     6,1     5.2º     2,7    -3.9   -10.2º   -17.8º    -7,5
-175.2º50  65.2º50   -18.4   -20.2º   -17,5   -13,6º    -5.4     0.9     4,5     4,0     0,7    -5,3   -11,1   -17.2º    -8.2º
-175.2º50 -84,750   -16,7   -25,1   -36,1   -40.8º   -42,1   -41.9   -45.8º   -46,0   -45,0   -36.2º   -25.4   -16.8º   -34.8º
-175.2º50 -85.2º50   -21.4   -30,3   -41,6º   -46,1   -47.4   -47.2º   -50,7   -50.9   -50,1   -41.4   -30,3   -21,5   -39.9
-175.2º50 -85,750   -23,6º   -33,3   -44.8º   -49,0   -50,1   -50,1   -53,1   -53.4   -52,7   -44,0   -32.8º   -23,7   -42,7
-175.2º50 -86.2º50   -24,5   -34,7   -46,7   -50,7   -51.4   -51,6º   -54,3   -54,6º   -54,0   -45,3   -34,0   -24.4   -44,0
-175.2º50 -86,750   -26,5   -37.4   -49,7   -53,5   -54,1   -54.4   -56,7   -56.9   -56,5   -47.9   -36,3   -26.4   -46,5
-175.2º50 -87.2º50   -27,3   -38,6º   -51.2º   -54.9   -55,3   -55,7   -57.8º   -57.9   -57,5   -49,0   -37.2º   -27,3   -47,6º
-175.2º50 -87,750   -28,3   -40,0   -52.9   -56.4   -56.8º   -57.2º   -59,1   -59.2º   -58.9   -50,5   -38.4   -28,3   -48.9
-175.2º50 -88.2º50   -29,1   -41,1   -54,3   -57,7   -58,0   -58,5   -60.2º   -60.2º   -60,0   -51,5   -39.4   -29,1   -50,0
-175.2º50 -88,750   -29,0   -41,3   -54,5   -57.9   -58,1   -58,7   -60.2º   -60.2º   -60,1   -51,5   -39,3   -28.9   -50,1
-175.2º50 -89.2º50   -28.4   -40.8º   -54,1   -57,5   -57,7   -58,3   -59,6º   -59,6º   -59,5   -51,1   -38.8º   -28.4   -49,6º
-175.2º50 -89,750   -27,7   -40.2º   -53,6º   -57,0   -57.2º   -57,7   -59,1   -59,1   -59,0   -50,5   -38,1   -27,7   -49,0
